"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","28 Feb 2023","21801.30","21844.65","21631.10","21682.25"
"NIFTY MIDCAP 150","27 Feb 2023","21890.05","21937.20","21724.65","21900.60"
"NIFTY MIDCAP 150","24 Feb 2023","21774.90","21979.85","21770.20","21946.65"
"NIFTY MIDCAP 150","23 Feb 2023","21880.95","21975.50","21750.85","21801.80"
"NIFTY MIDCAP 150","22 Feb 2023","22204.85","22226.20","21862.10","21916.45"
"NIFTY MIDCAP 150","21 Feb 2023","22296.15","22425.75","22220.70","22339.00"
"NIFTY MIDCAP 150","20 Feb 2023","22461.55","22506.80","22217.45","22249.05"
"NIFTY MIDCAP 150","17 Feb 2023","22367.95","22544.70","22324.10","22469.20"
"NIFTY MIDCAP 150","16 Feb 2023","22448.65","22631.40","22380.70","22427.65"
"NIFTY MIDCAP 150","15 Feb 2023","22140.20","22380.75","22132.05","22349.15"
"NIFTY MIDCAP 150","14 Feb 2023","22203.70","22295.70","22106.05","22273.85"
"NIFTY MIDCAP 150","13 Feb 2023","22248.05","22322.15","22160.20","22258.95"
"NIFTY MIDCAP 150","10 Feb 2023","22365.40","22391.45","22242.10","22325.85"
"NIFTY MIDCAP 150","09 Feb 2023","22506.80","22559.70","22329.05","22499.75"
"NIFTY MIDCAP 150","08 Feb 2023","22440.60","22607.75","22414.10","22559.80"
"NIFTY MIDCAP 150","07 Feb 2023","22391.70","22646.75","22314.10","22386.50"
"NIFTY MIDCAP 150","06 Feb 2023","22328.70","22501.15","22304.10","22478.05"
"NIFTY MIDCAP 150","03 Feb 2023","22707.80","22707.80","22350.35","22638.40"
"NIFTY MIDCAP 150","02 Feb 2023","22994.05","23123.60","22785.25","22874.00"
"NIFTY MIDCAP 150","01 Feb 2023","24060.45","24064.15","23001.80","23402.75"
"NIFTY MIDCAP 150","31 Jan 2023","23497.95","23770.85","23305.05","23713.50"
"NIFTY MIDCAP 150","30 Jan 2023","23711.45","24181.50","23144.85","23434.70"
"NIFTY MIDCAP 150","27 Jan 2023","25262.00","25336.20","23948.85","24169.95"
"NIFTY MIDCAP 150","25 Jan 2023","25864.20","25908.30","25374.10","25450.30"
